Приволжский ФО , Самара , ЦГиЭ;;;;;;;;;;;;;;;;
;;Число образцов тестированных на грипп;A (субтип не определен);A(H1)pdm09;A(H3);B;Число образцов тестированных на другие ОРВИ;Парагрипп;Аденовирус;РС-вирус;Риновирус;Коронавирус;Метапневмовирус;Бокавирус;Число образцов тестированных на COVID-19;COVID-19
;;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего
2013.5 (28.01.2013 - 03.02.2013);Н;13;0;1;2;1;0;0;0;0;0;0;0;0;;
2013.6 (04.02.2013 - 10.02.2013);Н;43;0;13;3;2;0;0;0;0;0;0;0;0;;
2013.7 (11.02.2013 - 17.02.2013);Н;100;0;23;9;12;0;0;0;0;0;0;0;0;;
2013.8 (18.02.2013 - 24.02.2013);Н;207;0;57;33;16;0;0;0;0;0;0;0;0;;
2013.9 (25.02.2013 - 03.03.2013);Н;241;0;55;23;16;0;0;0;0;0;0;0;0;;
2013.10 (04.03.2013 - 10.03.2013);Н;144;0;25;17;21;0;0;0;0;0;0;0;0;;
2013.11 (11.03.2013 - 17.03.2013);Н;174;0;27;29;25;0;0;0;0;0;0;0;0;;
2013.12 (18.03.2013 - 24.03.2013);Н;93;0;6;21;16;0;0;0;0;0;0;0;0;;
2013.13 (25.03.2013 - 31.03.2013);Н;59;0;2;7;17;0;0;0;0;0;0;0;0;;
2013.14 (01.04.2013 - 07.04.2013);Н;32;0;0;7;6;0;0;0;0;0;0;0;0;;
2013.15 (08.04.2013 - 14.04.2013);Н;28;0;1;5;6;0;0;0;0;0;0;0;0;;
2013.16 (15.04.2013 - 21.04.2013);Н;13;0;0;1;2;0;0;0;0;0;0;0;0;;
2013.17 (22.04.2013 - 28.04.2013);Н;10;0;0;2;2;0;0;0;0;0;0;0;0;;
2013.18 (29.04.2013 - 05.05.2013);Н;6;1;0;1;0;0;0;0;0;0;0;0;0;;
2013.19 (06.05.2013 - 12.05.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.20 (13.05.2013 - 19.05.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.21 (20.05.2013 - 26.05.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.22 (27.05.2013 - 02.06.2013);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.23 (03.06.2013 - 09.06.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.24 (10.06.2013 - 16.06.2013);;;;;;;;;;;;;;;;
2013.25 (17.06.2013 - 23.06.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.26 (24.06.2013 - 30.06.2013);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.27 (01.07.2013 - 07.07.2013);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.28 (08.07.2013 - 14.07.2013);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.29 (15.07.2013 - 21.07.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.30 (22.07.2013 - 28.07.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.31 (29.07.2013 - 04.08.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.32 (05.08.2013 - 11.08.2013);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.33 (12.08.2013 - 18.08.2013);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.34 (19.08.2013 - 25.08.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.35 (26.08.2013 - 01.09.2013);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.36 (02.09.2013 - 08.09.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.37 (09.09.2013 - 15.09.2013);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.38 (16.09.2013 - 22.09.2013);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.39 (23.09.2013 - 29.09.2013);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.40 (30.09.2013 - 06.10.2013);;;;;;;;;;;;;;;;
2013.41 (07.10.2013 - 13.10.2013);Н;18;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.42 (14.10.2013 - 20.10.2013);Н;12;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.43 (21.10.2013 - 27.10.2013);Н;12;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.44 (28.10.2013 - 03.11.2013);Н;14;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.45 (04.11.2013 - 10.11.2013);Н;11;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.46 (11.11.2013 - 17.11.2013);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.47 (18.11.2013 - 24.11.2013);Н;20;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.48 (25.11.2013 - 01.12.2013);Н;13;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.49 (02.12.2013 - 08.12.2013);Н;14;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.50 (09.12.2013 - 15.12.2013);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.51 (16.12.2013 - 22.12.2013);Н;13;0;0;0;0;0;0;0;0;0;0;0;0;;
2013.52 (23.12.2013 - 29.12.2013);Н;12;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.1 (30.12.2013 - 05.01.2014);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.2 (06.01.2014 - 12.01.2014);;;;;;;;;;;;;;;;
2014.3 (13.01.2014 - 19.01.2014);Н;18;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.4 (20.01.2014 - 26.01.2014);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.5 (27.01.2014 - 02.02.2014);Н;7;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.6 (03.02.2014 - 09.02.2014);Н;14;0;0;1;0;0;0;0;0;0;0;0;0;;
2014.7 (10.02.2014 - 16.02.2014);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.8 (17.02.2014 - 23.02.2014);Н;11;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.9 (24.02.2014 - 02.03.2014);Н;7;0;0;2;0;0;0;0;0;0;0;0;0;;
2014.10 (03.03.2014 - 09.03.2014);Н;13;0;0;5;0;0;0;0;0;0;0;0;0;;
2014.11 (10.03.2014 - 16.03.2014);Н;12;0;1;3;0;0;0;0;0;0;0;0;0;;
2014.12 (17.03.2014 - 23.03.2014);Н;12;0;1;2;0;0;0;0;0;0;0;0;0;;
2014.13 (24.03.2014 - 30.03.2014);Н;27;0;0;7;3;0;0;0;0;0;0;0;0;;
2014.14 (31.03.2014 - 06.04.2014);Н;6;0;0;1;0;0;0;0;0;0;0;0;0;;
2014.15 (07.04.2014 - 13.04.2014);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.16 (14.04.2014 - 20.04.2014);Н;7;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.17 (21.04.2014 - 27.04.2014);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.18 (28.04.2014 - 04.05.2014);;;;;;;;;;;;;;;;
2014.19 (05.05.2014 - 11.05.2014);;;;;;;;;;;;;;;;
2014.20 (12.05.2014 - 18.05.2014);;;;;;;;;;;;;;;;
2014.21 (19.05.2014 - 25.05.2014);;;;;;;;;;;;;;;;
2014.22 (26.05.2014 - 01.06.2014);;;;;;;;;;;;;;;;
2014.23 (02.06.2014 - 08.06.2014);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.24 (09.06.2014 - 15.06.2014);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.25 (16.06.2014 - 22.06.2014);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.26 (23.06.2014 - 29.06.2014);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.27 (30.06.2014 - 06.07.2014);;;;;;;;;;;;;;;;
2014.28 (07.07.2014 - 13.07.2014);;;;;;;;;;;;;;;;
2014.29 (14.07.2014 - 20.07.2014);;;;;;;;;;;;;;;;
2014.30 (21.07.2014 - 27.07.2014);;;;;;;;;;;;;;;;
2014.31 (28.07.2014 - 03.08.2014);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.32 (04.08.2014 - 10.08.2014);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.33 (11.08.2014 - 17.08.2014);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.34 (18.08.2014 - 24.08.2014);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.35 (25.08.2014 - 31.08.2014);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.36 (01.09.2014 - 07.09.2014);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.37 (08.09.2014 - 14.09.2014);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.38 (15.09.2014 - 21.09.2014);Н;18;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.39 (22.09.2014 - 28.09.2014);Н;7;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.40 (29.09.2014 - 05.10.2014);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.41 (06.10.2014 - 12.10.2014);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.42 (13.10.2014 - 19.10.2014);Н;17;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.43 (20.10.2014 - 26.10.2014);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.44 (27.10.2014 - 02.11.2014);Н;12;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.45 (03.11.2014 - 09.11.2014);;;;;;;;;;;;;;;;
2014.46 (10.11.2014 - 16.11.2014);Н;11;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.47 (17.11.2014 - 23.11.2014);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.48 (24.11.2014 - 30.11.2014);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.49 (01.12.2014 - 07.12.2014);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
